PREFIXE,OPERATEUR COMPLET
03274,Orange (France Télécom)
03277,Inconnu
03280,Orange (France Télécom)
03287,SFR
03293,Orange (France Télécom)
03294,Inconnu
03400,Inconnu
03401,Orange (France Télécom)
03404,Orange (France Télécom)
03414,Inconnu
03420,Orange (France Télécom)
03422,Inconnu
03424,SFR
03430,Inconnu
03433,SFR
03434,Inconnu
03435,Orange (France Télécom)
03444,Inconnu
03446,SFR
03454,Inconnu
03456,Orange (France Télécom)
03460,Orange (France Télécom)
03473,Orange (France Télécom)
03474,Orange (France Télécom)
03477,Orange (France Télécom)
03478,Orange (France Télécom)
03480,Orange (France Télécom)
03493,Inconnu
03497,Inconnu
03499,Orange (France Télécom)
03600,Inconnu
03601,Inconnu
03605,Inconnu
03606,SFR
03607,Orange (France Télécom)
03608,Inconnu
03609,SFR
03610,SFR
03614,Orange (France Télécom)
03615,Orange (France Télécom)
03620,Inconnu
03621,Inconnu
03624,Inconnu
03626,Inconnu
03630,Inconnu
03631,SFR
03632,Orange (France Télécom)
03633,Orange (France Télécom)
03634,SFR
03635,Inconnu
03636,Inconnu
03637,Orange (France Télécom)
03639,Orange (France Télécom)
03640,Inconnu
03641,Orange (France Télécom)
03642,Inconnu
03643,SFR
03644,Inconnu
03646,Inconnu
03648,Inconnu
03649,Inconnu
03651,Orange (France Télécom)
03657,SFR
03658,Inconnu
03660,Inconnu
03662,Inconnu
03663,SFR
03665,Inconnu
03669,Inconnu
03670,Orange (France Télécom)
03676,Inconnu
03677,Orange (France Télécom)
03679,Inconnu
03680,Orange (France Télécom)
03682,Inconnu
03690,Inconnu
03691,SFR
03695,SFR
03698,Orange (France Télécom)
03900,Orange (France Télécom)
03901,Orange (France Télécom)
03903,SFR
03906,SFR
03907,Orange (France Télécom)
03909,Orange (France Télécom)
03910,Orange (France Télécom)
03911,Inconnu
03917,Inconnu
03919,Orange (France Télécom)
03922,Orange (France Télécom)
03924,Inconnu
03928,SFR
03930,Inconnu
03932,Inconnu
03933,Orange (France Télécom)
03936,Inconnu
03937,Inconnu
03938,Orange (France Télécom)
03939,SFR
03944,Orange (France Télécom)
03945,Orange (France Télécom)
03946,Inconnu
03949,Inconnu
03950,Inconnu
03955,Orange (France Télécom)
03957,Orange (France Télécom)
03960,Inconnu
03970,Orange (France Télécom)
03972,Orange (France Télécom)
03975,Orange (France Télécom)
03976,Orange (France Télécom)
03977,Orange (France Télécom)
03979,Inconnu
03980,Orange (France Télécom)
03988,Orange (France Télécom)
